"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen","last_change"
"NK-2Uxsc3Ai9S2mAW5aMu4Uuw","Person","Danjuma Tella La'ah","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-2WmbReX9mE8qUgdcHUHgCk","Person","Abubakar Imam Besse","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-3Fi2JkaSnaLTcNacadaonE","Person","Ibrahim Bawa Kamba","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-4CWnQSUdAmFYrm5rknAudU","Person","Emmanuel Nnamdi Uba","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-5coggoDn3ein6xorxZeYmW","Person","Ogundimu Oluyinka","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-6C6Lgwn9Uipwce2y83wLCv","Person","Olufemi Julius Fakeye","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-6UbLQaGuBpuz6E5m9SGtXh","Person","Joseph Obinna Ogba","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-7WWyRaGjvq8Me7f5NFWeBi","Person","Ifedayo Sunday Abegunde","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-9MSsX2QFi7xZgkMWsj9Dfh","Person","Sani Mohammed","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-9mWfPsUWNxbPvvq6km75Yo","Person","Ahmed Ogembe","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-CHAyZ6svoKxJ8p7x8nWe79","Person","Farouk Mohammed Lawan","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
"NK-CNqPJdh6fn9QCuUWHE7YPJ","Person","Chukwuma Nwazunku","","","ng","","","","","","Nigeria Joining the Dots PEPs and PEP Relatives","2023-10-23T10:04:48","2025-07-22T05:29:01","2023-10-23T10:04:48"
